artist_name,count
Mister You,2
George Michael,2
Friendly Fires,2
The Boomtown Rats,2
Frankie Goes To Hollywood,2
Melanie C,2
Mario Vazquez,2
Travis Porter,2
Miley Cyrus,2
Family Of The Year,2
Nneka,2
Billy Joel,2
Amerie,2
Jonas Brothers,2
Ryan Tedder,2
The Clash,2
Kosheen,2
Two Door Cinema Club,2
113,2
Owl City,2
Bonnie Tyler,2
Four Year Strong,2
John Legend,2
Korn,2
Thea Gilmore,2
Die Antwoord,2
Dolly Parton,2
Sheila on 7,2
Stone Sour,2
Anastacia,2
Alex Gaudino,2
Liquido,2
Chiddy Bang,2
LIGHTS,2
Chris Isaak,2
Rise Against,2
Marc Almond,2
Saphir,2
Alin Coen Band,2
Pantera,2
Dead by April,2
George Harrison,2
miss A,2
Tinchy Stryder,2
The Feeling,2
Johnny,2
Tribes,2
Nero,2
Zulu Winter,2
DJ Medhi,2
Joss Stone,2
Alesana,2
Rob Zombie,2
Sixpence None the Richer,2
Howler,2
Crystal Castles,2
The Adverts,2
Laza Morgan,2
MIKA,2
Fountains Of Wayne,2
Marquess,2
Wir 3,2
Cedric Gervais,2
Halestorm,2
Curtis Mayfield,2
White Rabbits,2
NINA SIMONE,2
Musiq,2
Klaxons,2
Brennan,2
B.Traits,2
Scissor Sisters,2
Sef,2
Incubus,2
Big Time Rush,2
Seal,2
Lucenzo,2
All The Young,2
Slow Club,2
April March,2
Jack Savoretti,2
Bonobo,2
Talking Heads,2
Bryan Adams,2
Keane,2
James Brown,2
Cannibal Corpse,2
Aztec Camera,2
Tim B.,2
Caravan Palace,2
The Stone Roses,2
Tank,2
Koffi Olomidé,2
Home,2
Robin Thicke,2
Morten Harket,2
Brian McKnight,2
Architects,2
McFly,2
Secondhand Serenade,2
Mavado,2
Cheryl,2
Gallows,2
Model,2
Joe,2
Dire Straits,2
Psychedelic Furs,2
The Red Jumpsuit Apparatus,1
Supremes,1
Heather Nova,1
X,1
Beethoven,1
AFTERSCHOOL,1
Baby Bash,1
Instrumenti,1
Rival Schools,1
Donikkl,1
Editors,1
Edmee,1
Wu Tang Clan,1
Busta,1
Therapy,1
Lightning Seeds,1
Tegan & Sara,1
Obús,1
DJ Paul,1
The Gathering,1
Justice vs Simian,1
Liga,1
NX Zero,1
Style Council,1
KODA KUMI,1
Finbar Furey,1
Puggy,1
Celsius,1
VersaEmerge,1
Asia,1
Bob Sinclair,1
Marina & the Diamonds,1
Dead Or Alive,1
Pretenders,1
Oh Land,1
Umal,1
The Cribs,1
Ingrosso,1
Debbie Harry,1
Stereolove,1
Black Label Society,1
Yuri Buenaventura,1
Housemartins,1
Obrint Pas,1
Biggie,1
DC Breaks,1
Sarah Connor,1
Cassie,1
Embrace,1
Skeletal Family,1
Kaotiko,1
DJ Hardwell,1
Prime Circle,1
Alonzo,1
Pop Evil,1
Nelson Freitas,1
65daysofstatic,1
John Waller,1
Klaus Lage,1
UFO,1
S Club 7,1
Fleet Foxes,1
Oli P,1
Naughty Boy,1
Angry Anderson,1
Nicolette Larson,1
Hocico,1
Culture Shock,1
Hundred Waters,1
Kevin Lyttle,1
Zaho,1
"Frampton, Peter",1
Black Sabbath,1
Wolf,1
Jazztronik,1
Meck,1
Guru,1
The Cat Empire,1
Celine Dion,1
Little Stevie Wonder,1
Totally Enormous Extinct Dinosaurs,1
Kym Sims,1
Shamen,1
In Flames,1
Gatto Fritto,1
WarCry,1
Muzzy,1
Number One Gun,1
DJ Tiesto,1
Aventura,1
Julian Lennon,1
The Gift,1
The Enid,1
Lifehouse,1
Echo & The Bunnymen,1
Passi,1
The Charlatans,1
Missy,1
Ailee,1
Teoman,1
Remaster),1
Cinema Bizarre,1
Sadek,1
Flipsyde,1
Momus,1
Lindisfarne,1
Floating Points,1
Bok Bok,1
Thee Oh Sees,1
Tom Williams and The Boat,1
Lark,1
Sharks,1
Starbuck,1
Inspiral Carpets,1
Mark Lanegan,1
Carimi,1
Just Jack,1
2PM,1
FC Kahuna,1
Iggy Pop,1
Jimi Hendrix,1
Matt Stevens,1
2 Chainz,1
Searchers,1
Mike Kalambay,1
Psyko Punkz,1
Beverley Craven,1
Stevie Nicks,1
Nada Surf,1
Sabaton,1
The Pitcher,1
